repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
defuse/crackstation-hashdb,296.00 ,106.00 ,6.00 ,1.00 ,2.00 ,PHP
EddieHubCommunity/gh-actions-html-table-generator,23.00 ,13.00 ,6.00 ,0.00 ,6.00 ,JavaScript
EddieHubCommunity/template,6.00 ,10.00 ,6.00 ,1.00 ,10.00 ,NULL
Ishita-0112/Pysa-Hack,0.00 ,0.00 ,6.00 ,1.00 ,2.00 ,Python
trailofbits/AppJailLauncher,133.00 ,19.00 ,6.00 ,0.00 ,5.00 ,C++
aloisdeniel/built_vector,33.00 ,6.00 ,6.00 ,1.00 ,0.00 ,Dart
aloisdeniel/built_vector,33.00 ,6.00 ,6.00 ,1.00 ,0.00 ,Dart
donnemartin/viz,759.00 ,123.00 ,6.00 ,0.00 ,0.00 ,Python
localstack/awscli-local,702.00 ,58.00 ,6.00 ,0.00 ,14.00 ,Python
nikhilkumarsingh/facebook-messenger-bot,16.00 ,16.00 ,6.00 ,0.00 ,0.00 ,Python
iamshaunjp/django-playlist,162.00 ,186.00 ,6.00 ,5.00 ,0.00 ,NULL
btholt/complete-intro-to-react-v7,528.00 ,125.00 ,6.00 ,13.00 ,13.00 ,JavaScript
iamshaunjp/django-playlist,162.00 ,186.00 ,6.00 ,5.00 ,0.00 ,NULL
localstack/helm-charts,28.00 ,44.00 ,6.00 ,1.00 ,20.00 ,Smarty
Abhishek-kumar09/AutoBot,2.00 ,0.00 ,6.00 ,0.00 ,4.00 ,JavaScript
aloisdeniel/dio_retry,46.00 ,34.00 ,5.00 ,1.00 ,2.00 ,Dart
LiveOverflow/liveoverflow_youtube,455.00 ,202.00 ,5.00 ,4.00 ,0.00 ,C
taranjeet/blog,0.00 ,1.00 ,5.00 ,1.00 ,0.00 ,HTML
garimasingh128/Draw,1.00 ,4.00 ,5.00 ,0.00 ,4.00 ,HTML
ethereum/asyncio-run-in-process,11.00 ,7.00 ,5.00 ,1.00 ,6.00 ,Python
emersonsoares/asdf-dotnet-core,65.00 ,17.00 ,5.00 ,3.00 ,7.00 ,Shell
WhiteHouse/drushsubtree,11.00 ,10.00 ,5.00 ,1.00 ,4.00 ,NULL
zemse/bitcoin3js,3.00 ,0.00 ,5.00 ,5.00 ,2.00 ,JavaScript
Chirag321ratvekar/docker-project,0.00 ,0.00 ,5.00 ,0.00 ,0.00 ,NULL
byt3bl33d3r/ItWasAllADream,692.00 ,109.00 ,5.00 ,2.00 ,0.00 ,Python
offensive-security/masscan-web-ui,437.00 ,176.00 ,5.00 ,0.00 ,4.00 ,PHP
garimasingh128/CP-DSA-Cpp-C,25.00 ,89.00 ,5.00 ,0.00 ,72.00 ,C++
fromgopi/cookbook-api,2.00 ,1.00 ,5.00 ,0.00 ,2.00 ,Python
iamshaunjp/firebase-auth,329.00 ,355.00 ,5.00 ,9.00 ,0.00 ,NULL
devongovett/browserify-optional,9.00 ,1.00 ,5.00 ,0.00 ,0.00 ,JavaScript
marcel-dempers/docker-development-youtube-series,0.00 ,0.00 ,5.00 ,7.00 ,21.00 ,Go
defuse/elfplayer,10.00 ,3.00 ,5.00 ,0.00 ,0.00 ,JavaScript
vasu-1/CalcHub,49.00 ,128.00 ,5.00 ,7.00 ,49.00 ,JavaScript
gabrielfalcao/dead-parrot,16.00 ,4.00 ,5.00 ,0.00 ,2.00 ,Python
aloisdeniel/dio_retry,46.00 ,34.00 ,5.00 ,1.00 ,2.00 ,Dart
devongovett/atom-stylus,6.00 ,5.00 ,5.00 ,2.00 ,2.00 ,CoffeeScript
kameshsampath/ansible-collection-kubernetes-spices,0.00 ,0.00 ,5.00 ,0.00 ,1.00 ,Jinja
trailofbits/censys-ruby,9.00 ,3.00 ,5.00 ,0.00 ,3.00 ,Ruby
thrau/pymq,21.00 ,3.00 ,5.00 ,0.00 ,0.00 ,Python
aloisdeniel/built_bloc,51.00 ,5.00 ,5.00 ,1.00 ,0.00 ,Dart
iamshaunjp/firebase-auth,329.00 ,355.00 ,5.00 ,9.00 ,0.00 ,NULL
devongovett/browserify-istanbul,50.00 ,31.00 ,5.00 ,2.00 ,11.00 ,JavaScript
EddieHubCommunity/EddieBotUI,11.00 ,19.00 ,5.00 ,0.00 ,9.00 ,JavaScript
rajat2502/GitHub-Battle,13.00 ,8.00 ,5.00 ,1.00 ,3.00 ,JavaScript
bradtraversy/angularfs,54.00 ,44.00 ,5.00 ,0.00 ,0.00 ,TypeScript
benawad/apollo-server-react-file-upload,79.00 ,34.00 ,5.00 ,23.00 ,2.00 ,JavaScript
whummer/jaxb-facets,27.00 ,17.00 ,5.00 ,2.00 ,3.00 ,Java
Ishita-0112/CODES,4.00 ,6.00 ,5.00 ,0.00 ,8.00 ,Java
openfoodfacts/facets-knowledge-panels,1.00 ,2.00 ,5.00 ,4.00 ,5.00 ,Python
aviaryan/BrainGames,45.00 ,11.00 ,5.00 ,1.00 ,0.00 ,Python
aloisdeniel/built_bloc,51.00 ,5.00 ,5.00 ,1.00 ,0.00 ,Dart
vasu-1/CalcHub,49.00 ,128.00 ,5.00 ,7.00 ,49.00 ,JavaScript
kameshsampath/ansible-collection-kubernetes-spices,0.00 ,0.00 ,5.00 ,0.00 ,1.00 ,Jinja
ak7550/garments-store,0.00 ,4.00 ,5.00 ,0.00 ,0.00 ,JavaScript
donnemartin/awesome-aws,0.00 ,0.00 ,5.00 ,60.00 ,70.00 ,Python
manjurulhoque/android-near-by-places,24.00 ,14.00 ,5.00 ,0.00 ,0.00 ,Java
EddieHubCommunity/hacktoberfest-practice,292.00 ,0.00 ,4.00 ,36.00 ,0.00 ,NULL
localstack/aws-cdk-local,176.00 ,10.00 ,4.00 ,1.00 ,7.00 ,JavaScript
lmgonzalves/brushstroke,81.00 ,14.00 ,4.00 ,1.00 ,2.00 ,JavaScript
iamshaunjp/css-grid-layouts,51.00 ,23.00 ,4.00 ,0.00 ,0.00 ,NULL
rrousselGit/functional_widget,508.00 ,42.00 ,4.00 ,1.00 ,13.00 ,Dart
Vectorized/solady,315.00 ,21.00 ,4.00 ,0.00 ,10.00 ,Solidity
mitsuhiko/clicolors-control,19.00 ,9.00 ,4.00 ,2.00 ,5.00 ,Rust
education/hackconviii,15.00 ,9.00 ,4.00 ,0.00 ,0.00 ,NULL
iamshaunjp/css-grid-layouts,51.00 ,23.00 ,4.00 ,0.00 ,0.00 ,NULL
mitsuhiko/better-panic,332.00 ,6.00 ,4.00 ,0.00 ,2.00 ,Rust
nikhilkumarsingh/flask-chat-app,41.00 ,23.00 ,4.00 ,0.00 ,0.00 ,Python
florinpop17/10-projects-10-hours,0.00 ,589.00 ,4.00 ,10.00 ,0.00 ,JavaScript
Anuj-Kumar-Sharma/NewsApp,40.00 ,44.00 ,4.00 ,6.00 ,0.00 ,Kotlin
dhananjaym2/android-imagedownloader,0.00 ,0.00 ,4.00 ,0.00 ,0.00 ,Java
RonLek/ALPR-and-Identification-for-Indian-Vehicles,25.00 ,8.00 ,4.00 ,0.00 ,4.00 ,Jupyter Notebook
defuse/backup-verify,9.00 ,8.00 ,4.00 ,0.00 ,0.00 ,Ruby
keshav-space/safe_notes,2.00 ,2.00 ,4.00 ,0.00 ,0.00 ,Dart
bradtraversy/bookstore,231.00 ,211.00 ,4.00 ,2.00 ,2.00 ,HTML
carloscuesta/gitmoji-cli,0.00 ,190.00 ,4.00 ,0.00 ,43.00 ,JavaScript
YashKumarVerma/all-covid-info-frontend,9.00 ,1.00 ,4.00 ,1.00 ,0.00 ,JavaScript
carloscuesta/gitmoji-cli,0.00 ,190.00 ,4.00 ,0.00 ,43.00 ,JavaScript
defuse/airgap,26.00 ,2.00 ,4.00 ,0.00 ,0.00 ,NULL
btholt/algorithms-exercises,135.00 ,374.00 ,4.00 ,11.00 ,3.00 ,JavaScript
lmorchard/about-me,3.00 ,0.00 ,4.00 ,0.00 ,0.00 ,JavaScript
LiveOverflow/pwn_docker_example,178.00 ,42.00 ,4.00 ,3.00 ,3.00 ,Dockerfile
AYIDouble/Cat-Face-Detector-with-OpenCV-and-JavaFX,24.00 ,7.00 ,4.00 ,0.00 ,2.00 ,Java
curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,128.00 ,41.00 ,4.00 ,1.00 ,0.00 ,Python
RonLek/FastV2C-HandNet,8.00 ,2.00 ,4.00 ,0.00 ,0.00 ,Python
curiousily/Credit-Card-Fraud-Detection-using-Autoencoders-in-Keras,408.00 ,254.00 ,4.00 ,1.00 ,0.00 ,Jupyter Notebook
casatwy/CTMediator,0.00 ,749.00 ,4.00 ,1.00 ,3.00 ,Objective-C
Rajdip019/booklee,7.00 ,1.00 ,4.00 ,0.00 ,4.00 ,JavaScript
ducc/DiscrimFarmer,13.00 ,3.00 ,4.00 ,0.00 ,0.00 ,Go
asweigart/bext,13.00 ,2.00 ,4.00 ,0.00 ,2.00 ,Python
ralexstokes/deposit-verifier,15.00 ,7.00 ,4.00 ,0.00 ,3.00 ,Python
AnkushMalaker/speech-emotion-recognition,5.00 ,0.00 ,4.00 ,0.00 ,2.00 ,PureBasic
mikenikles/ghost-v3-google-cloud-storage,13.00 ,7.00 ,4.00 ,3.00 ,2.00 ,JavaScript
yourcelf/afgexplorer,48.00 ,6.00 ,4.00 ,0.00 ,2.00 ,Python
trailofbits/circuitous-benchmarks,0.00 ,0.00 ,4.00 ,0.00 ,0.00 ,C++
Clueless-Community/Datasets,4.00 ,3.00 ,4.00 ,0.00 ,5.00 ,JavaScript
ethereum/beacon_chain,196.00 ,61.00 ,4.00 ,1.00 ,13.00 ,Python
openfoodfacts/eu-food-data,8.00 ,6.00 ,4.00 ,0.00 ,4.00 ,HTML
jonfroehlich/jonfroehlich.github.io,3.00 ,0.00 ,4.00 ,0.00 ,0.00 ,HTML
WhiteHouse/CIOmanagement,14.00 ,28.00 ,4.00 ,6.00 ,15.00 ,SCSS
0xCaso/defillama-telegram-bot,0.00 ,1.00 ,4.00 ,0.00 ,2.00 ,JavaScript
ethereum/blake2b-py,5.00 ,14.00 ,4.00 ,3.00 ,4.00 ,Rust
openfoodfacts/folksonomy_mobile_experiment,0.00 ,0.00 ,4.00 ,3.00 ,3.00 ,JavaScript
WhiteHouse/buildmanager,13.00 ,15.00 ,4.00 ,2.00 ,4.00 ,PHP
torvalds/test-tlb,501.00 ,177.00 ,4.00 ,4.00 ,2.00 ,C
jonfroehlich/HCID521Wi2020,0.00 ,0.00 ,4.00 ,0.00 ,0.00 ,JavaScript
amacgregor/dot-files,438.00 ,318.00 ,4.00 ,0.00 ,0.00 ,Vim Script
adrianhajdin/project_google_clone,324.00 ,78.00 ,4.00 ,1.00 ,2.00 ,JavaScript
jamesbachini/Encryption-VScode,3.00 ,2.00 ,4.00 ,0.00 ,2.00 ,JavaScript
antonmedv/jsize,179.00 ,12.00 ,4.00 ,0.00 ,4.00 ,JavaScript
WhiteHouse/omb_place,49.00 ,22.00 ,4.00 ,1.00 ,4.00 ,CSS
nikhilkumarsingh/awesome-wikidata-scripts,6.00 ,3.00 ,4.00 ,0.00 ,2.00 ,Jupyter Notebook
adrianhajdin/project_hoobank,469.00 ,135.00 ,4.00 ,1.00 ,0.00 ,JavaScript
Raz0r/aemscan,158.00 ,52.00 ,4.00 ,0.00 ,5.00 ,Python
xbelanch/OBS4Pi,30.00 ,5.00 ,4.00 ,0.00 ,0.00 ,Shell
casatwy/HandyAutoLayout,0.00 ,253.00 ,4.00 ,1.00 ,4.00 ,Objective-C
sagesharp/python-code-of-conduct,2.00 ,103.00 ,4.00 ,0.00 ,0.00 ,NULL
aloisdeniel/bluff,84.00 ,8.00 ,3.00 ,0.00 ,0.00 ,Dart
97shivank/Hotel-Site-with-Django,5.00 ,7.00 ,3.00 ,0.00 ,5.00 ,Python
kameshsampath/ansible-role-kind,1.00 ,2.00 ,3.00 ,14.00 ,2.00 ,Jinja
mrdbourke/m1-machine-learning-test,303.00 ,84.00 ,3.00 ,0.00 ,2.00 ,Jupyter Notebook
saurabhdaware/blog.saurabhdaware.in,4.00 ,0.00 ,3.00 ,3.00 ,0.00 ,TypeScript
amacgregor/amgr_phx,0.00 ,1.00 ,3.00 ,0.00 ,3.00 ,CSS
mrdbourke/cs329s-ml-deployment-tutorial,513.00 ,140.00 ,3.00 ,0.00 ,0.00 ,Jupyter Notebook
stong/CVE-2021-3156,431.00 ,119.00 ,3.00 ,0.00 ,0.00 ,C
ritwickdey/organic-shop,56.00 ,36.00 ,3.00 ,0.00 ,2.00 ,TypeScript
itaditya/background-check,27.00 ,12.00 ,3.00 ,0.00 ,2.00 ,JavaScript
ck37/featurerank,1.00 ,0.00 ,3.00 ,0.00 ,3.00 ,R
torvalds/pesconvert,241.00 ,56.00 ,3.00 ,2.00 ,4.00 ,C
iamshaunjp/firebase-firestore-playlist,274.00 ,303.00 ,3.00 ,4.00 ,0.00 ,NULL
PawanKolhe/calc-2000,1.00 ,1.00 ,3.00 ,0.00 ,0.00 ,JavaScript
tapaswenipathak/Blacklist-By-Words,20.00 ,10.00 ,3.00 ,1.00 ,3.00 ,JavaScript
localstack/aws-sam-cli-local,17.00 ,4.00 ,3.00 ,1.00 ,2.00 ,Python
jakearchibald/big-web-quiz,109.00 ,32.00 ,3.00 ,3.00 ,2.00 ,JavaScript
aloisdeniel/bluff,84.00 ,8.00 ,3.00 ,0.00 ,0.00 ,Dart
gasteigerjo/dimenet,199.00 ,38.00 ,3.00 ,0.00 ,0.00 ,Python
gasteigerjo/turbulent,0.00 ,0.00 ,3.00 ,0.00 ,3.00 ,C++
feross/clipboard-copy,561.00 ,40.00 ,3.00 ,3.00 ,5.00 ,JavaScript
stong/CVE-2021-3156,431.00 ,119.00 ,3.00 ,0.00 ,0.00 ,C
clindsey/cookbook,3.00 ,0.00 ,3.00 ,0.00 ,0.00 ,Ruby
ritwickdey/organic-shop,56.00 ,36.00 ,3.00 ,0.00 ,2.00 ,TypeScript
ForrestPi/anomalyLocalization,13.00 ,1.00 ,3.00 ,0.00 ,0.00 ,Python
ethereum/beacon-metrics,19.00 ,14.00 ,3.00 ,0.00 ,6.00 ,NULL
emersonsoares/cep-api,98.00 ,44.00 ,3.00 ,0.00 ,4.00 ,C#
mscoutermarsh/dotfiles,766.00 ,184.00 ,3.00 ,1.00 ,23.00 ,Vim Script
AshAman999/Edify,4.00 ,0.00 ,3.00 ,2.00 ,2.00 ,Dart
ethereum/alexandria,6.00 ,8.00 ,3.00 ,0.00 ,5.00 ,Python
lengstrom/codezoo,1.00 ,0.00 ,3.00 ,0.00 ,0.00 ,JavaScript
sreehari2003/cvshare.io,5.00 ,1.00 ,3.00 ,0.00 ,2.00 ,TypeScript
bradtraversy/bookmarker,157.00 ,118.00 ,3.00 ,1.00 ,3.00 ,JavaScript
crnacura/AmbientCanvasBackgrounds,514.00 ,112.00 ,3.00 ,0.00 ,0.00 ,JavaScript
bradtraversy/apex-legends-tracker,127.00 ,21.00 ,3.00 ,7.00 ,2.00 ,Vue
MariaEduardaDeAzevedo/centavos-search,7.00 ,4.00 ,3.00 ,0.00 ,5.00 ,JavaScript
MariaEduardaDeAzevedo/detector-de-mascaras,167.00 ,23.00 ,3.00 ,0.00 ,3.00 ,Python
MariaEduardaDeAzevedo/jogo-da-velha,7.00 ,3.00 ,3.00 ,0.00 ,2.00 ,Python
IonicaBizau/anser,50.00 ,17.00 ,3.00 ,0.00 ,22.00 ,JavaScript
defuse/dfcrypt,0.00 ,0.00 ,3.00 ,0.00 ,0.00 ,C
defuse/gadgetrie,4.00 ,0.00 ,3.00 ,0.00 ,0.00 ,C
bradtraversy/angular60,129.00 ,102.00 ,3.00 ,0.00 ,2.00 ,JavaScript
Tyriar/abbr-touch,51.00 ,4.00 ,3.00 ,0.00 ,2.00 ,HTML
tinchoabbate/slither-scripts,18.00 ,15.00 ,3.00 ,2.00 ,0.00 ,Python
smaranjitghose/AppleFoliarAI,7.00 ,9.00 ,3.00 ,0.00 ,3.00 ,Dockerfile
kameshsampath/ansible-role-kind,1.00 ,2.00 ,3.00 ,14.00 ,2.00 ,Jinja
rogeriopvl/Downpy,9.00 ,1.00 ,3.00 ,0.00 ,2.00 ,Python
casatwy/ConfigPrivatePod,69.00 ,70.00 ,3.00 ,0.00 ,0.00 ,Shell
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37.00 ,79.00 ,3.00 ,6.00 ,0.00 ,Python
trailofbits/constexpr-everything,231.00 ,11.00 ,3.00 ,0.00 ,6.00 ,C++
kdeldycke/cqlengine-relation-columns,1.00 ,1.00 ,3.00 ,0.00 ,0.00 ,Python
nikhilkumarsingh/desktop_reminder,7.00 ,4.00 ,3.00 ,0.00 ,0.00 ,Python
taniarascia/laconia,350.00 ,63.00 ,3.00 ,2.00 ,2.00 ,PHP
aviaryan/CFBuddy,2.00 ,1.00 ,3.00 ,0.00 ,0.00 ,Java
xoreaxeaxeax/..cantor.dust..,33.00 ,0.00 ,3.00 ,0.00 ,0.00 ,NULL
YosephKS/moralis-opensea-plugins,26.00 ,14.00 ,3.00 ,0.00 ,0.00 ,JavaScript
aviaryan/alfred-google-search,32.00 ,1.00 ,3.00 ,0.00 ,0.00 ,Python
aviaryan/Ahk-Best-Practices,30.00 ,5.00 ,3.00 ,0.00 ,2.00 ,NULL
google/actions-on-google-trivia-template-sdk,14.00 ,8.00 ,3.00 ,0.00 ,2.00 ,JavaScript
Anuj-Kumar-Sharma/DS-Algo,457.00 ,382.00 ,3.00 ,31.00 ,8.00 ,Java
trailofbits/bisc,71.00 ,15.00 ,3.00 ,0.00 ,5.00 ,Ruby
taniarascia/new-moon-vscode,85.00 ,10.00 ,3.00 ,1.00 ,3.00 ,NULL
localstack/localstack-python-client,144.00 ,30.00 ,3.00 ,0.00 ,16.00 ,Python
trailofbits/algo-ng,65.00 ,16.00 ,3.00 ,1.00 ,3.00 ,HCL
ljharb/aud,24.00 ,1.00 ,3.00 ,0.00 ,0.00 ,JavaScript
felangel/bloc.js,171.00 ,19.00 ,3.00 ,3.00 ,5.00 ,TypeScript
google/.github,70.00 ,153.00 ,3.00 ,3.00 ,4.00 ,NULL
mattgallagher/CwlSignal,305.00 ,33.00 ,3.00 ,1.00 ,9.00 ,Swift
iamshaunjp/firebase-firestore-playlist,274.00 ,303.00 ,3.00 ,4.00 ,0.00 ,NULL
anuraghazra/circleci-test,0.00 ,0.00 ,3.00 ,1.00 ,2.00 ,JavaScript
ihcsim/cockroachdb-formula,2.00 ,2.00 ,3.00 ,0.00 ,0.00 ,Ruby
WhiteHouse/choropleth,4.00 ,9.00 ,3.00 ,1.00 ,5.00 ,JavaScript
shazow/briefmetrics,20.00 ,1.00 ,3.00 ,3.00 ,3.00 ,Python
byt3bl33d3r/arpspoof,175.00 ,66.00 ,3.00 ,0.00 ,4.00 ,Python
nerdynikhil/bookclub,0.00 ,0.00 ,3.00 ,0.00 ,0.00 ,Dart
vicky002/1000_Projects,0.00 ,298.00 ,3.00 ,1.00 ,4.00 ,NULL
Shreeshrii/tess5train-fonts,72.00 ,19.00 ,3.00 ,0.00 ,0.00 ,HTML
Shreeshrii/hindi-hunspell,29.00 ,16.00 ,3.00 ,3.00 ,2.00 ,Shell
education/github-starter-course,41.00 ,25.00 ,3.00 ,0.00 ,5.00 ,NULL
nerdynikhil/codestreak,4.00 ,3.00 ,3.00 ,0.00 ,3.00 ,JavaScript
EddieHubCommunity/gh-action-community,24.00 ,16.00 ,3.00 ,0.00 ,13.00 ,JavaScript
nikhilkumarsingh/cmail,3.00 ,1.00 ,3.00 ,0.00 ,2.00 ,Python
EddieHubCommunity/EddieBotBreakout,14.00 ,2.00 ,3.00 ,0.00 ,6.00 ,TypeScript
RivaanRanawat/flutter-whatsapp-clone,75.00 ,45.00 ,3.00 ,0.00 ,0.00 ,Dart
nikhilkumarsingh/content-downloader,104.00 ,68.00 ,3.00 ,0.00 ,6.00 ,Python
kdeldycke/kevin-deldycke-blog,34.00 ,15.00 ,3.00 ,11.00 ,5.00 ,Python
offensive-security/kali-linux-preseed,42.00 ,26.00 ,3.00 ,0.00 ,0.00 ,NULL
lengstrom/codezoo,1.00 ,0.00 ,3.00 ,0.00 ,0.00 ,JavaScript
offensive-security/cryptsetup-nuke-keys,188.00 ,63.00 ,3.00 ,7.00 ,0.00 ,NULL
Anuj-Kumar-Sharma/Shuffler,275.00 ,291.00 ,3.00 ,6.00 ,0.00 ,Java
offensive-security/exploitdb-bin-sploits,0.00 ,545.00 ,3.00 ,0.00 ,0.00 ,Python
btholt/complete-intro-to-computer-science,214.00 ,151.00 ,3.00 ,19.00 ,8.00 ,JavaScript
kdeldycke/kdenlive-tools,6.00 ,1.00 ,3.00 ,0.00 ,0.00 ,Python
PragneshRamani/Coursera---Using-Python-to-Access-Web-Data,37.00 ,79.00 ,3.00 ,6.00 ,0.00 ,Python
vikhyatsingh123/Naruto-Shippuden,85.00 ,466.00 ,3.00 ,6.00 ,259.00 ,HTML
Priyansh19077/OnlyPolling,0.00 ,0.00 ,3.00 ,0.00 ,0.00 ,Java
zemse/awesome-decentralized-finance,8.00 ,268.00 ,2.00 ,0.00 ,0.00 ,NULL
carloscuesta/carloscuesta.me,39.00 ,7.00 ,2.00 ,0.00 ,7.00 ,JavaScript
AYIDouble/IoT-Arduino-Game-Controller-Java,16.00 ,2.00 ,2.00 ,0.00 ,2.00 ,Java
sambitraze/cpp,0.00 ,3.00 ,2.00 ,0.00 ,3.00 ,C++
Shreeshrii/tessdata_ssd,24.00 ,4.00 ,2.00 ,0.00 ,0.00 ,Shell
wsvincent/awesome-django,0.00 ,940.00 ,2.00 ,5.00 ,65.00 ,HTML
ritwickdey/ritwickdey.github.io,83.00 ,21.00 ,2.00 ,25.00 ,0.00 ,TypeScript
zemse/contract-ownership-governance,1.00 ,3.00 ,2.00 ,0.00 ,0.00 ,TypeScript
artkirienko/n-th_longest,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,C++
Anishde85/sociocom,2.00 ,5.00 ,2.00 ,6.00 ,6.00 ,HTML
CharlesCreativeContent/CodeWars,60.00 ,11.00 ,2.00 ,0.00 ,0.00 ,JavaScript
clindsey/AlphabetSoup,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,JavaScript
arogozhnikov/infiniteboost,184.00 ,22.00 ,2.00 ,0.00 ,3.00 ,Jupyter Notebook
norbusan/cinnadock-p2,439.00 ,1.00 ,2.00 ,0.00 ,0.00 ,JavaScript
vivekweb2013/audio-recorder,22.00 ,4.00 ,2.00 ,0.00 ,4.00 ,Java
kdeldycke/mdx_titlecase,1.00 ,3.00 ,2.00 ,0.00 ,2.00 ,Python
savannahar68/ClipboardHistory,4.00 ,2.00 ,2.00 ,9.00 ,2.00 ,JavaScript
brettkromkamp/topic-db-api,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Python
savannahar68/CamScanner-Python,2.00 ,5.00 ,2.00 ,0.00 ,0.00 ,Python
jgthms/bulma-versions,7.00 ,4.00 ,2.00 ,12.00 ,0.00 ,HTML
tapaswenipathak/Bot-list,0.00 ,0.00 ,2.00 ,0.00 ,2.00 ,NULL
EddieHubCommunity/Branding,17.00 ,22.00 ,2.00 ,2.00 ,21.00 ,HTML
feross/arch,69.00 ,7.00 ,2.00 ,1.00 ,4.00 ,JavaScript
feross/awesome-mad-science,0.00 ,68.00 ,2.00 ,9.00 ,17.00 ,NULL
Anurag5086/Portfolio-website-themes,1.00 ,8.00 ,2.00 ,0.00 ,8.00 ,HTML
Anurag5086/MentHealth,4.00 ,4.00 ,2.00 ,0.00 ,2.00 ,NULL
AYIDouble/Keyboard,8.00 ,1.00 ,2.00 ,0.00 ,0.00 ,Java
vivekweb2013/toastmaker,43.00 ,11.00 ,2.00 ,8.00 ,2.00 ,JavaScript
antonmedv/fx-completion,169.00 ,7.00 ,2.00 ,0.00 ,0.00 ,JavaScript
antonmedv/gofx,234.00 ,10.00 ,2.00 ,0.00 ,2.00 ,Go
norbusan/jfontmaps,434.00 ,1.00 ,2.00 ,0.00 ,3.00 ,Perl
eddiejaoude/ANT-Project-Deployment-Tool,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,NULL
taniarascia/chat,154.00 ,27.00 ,2.00 ,0.00 ,4.00 ,TypeScript
taniarascia/accordion,116.00 ,11.00 ,2.00 ,0.00 ,0.00 ,JavaScript
DeepGautamFullStack/DeepCart,14.00 ,15.00 ,2.00 ,0.00 ,0.00 ,TypeScript
saurabhdaware/jest-fs-mock,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,JavaScript
kameshsampath/ansible-role-openshift-spices,2.00 ,1.00 ,2.00 ,0.00 ,2.00 ,HTML
Errichto/youtube,0.00 ,486.00 ,2.00 ,1.00 ,3.00 ,C++
donnemartin/donnemartin.github.io,51.00 ,20.00 ,2.00 ,2.00 ,0.00 ,HTML
arogozhnikov/DeepMMD-GAN,13.00 ,8.00 ,2.00 ,0.00 ,0.00 ,Jupyter Notebook
localstack/localstack-extensions,9.00 ,1.00 ,2.00 ,0.00 ,3.00 ,Python
andrewjmead/short-lnk-meteor-course,5.00 ,11.00 ,2.00 ,0.00 ,0.00 ,JavaScript
btholt/citr-v7-project,306.00 ,240.00 ,2.00 ,3.00 ,0.00 ,JavaScript
kameshsampath/ansible-role-rosa-demos,0.00 ,0.00 ,2.00 ,0.00 ,2.00 ,Makefile
RivaanRanawat/flutter-dapp-tutorial,4.00 ,4.00 ,2.00 ,1.00 ,0.00 ,C++
taniarascia/react-hooks,339.00 ,207.00 ,2.00 ,0.00 ,3.00 ,JavaScript
carloscuesta/starterkit,88.00 ,13.00 ,2.00 ,0.00 ,3.00 ,JavaScript
kameshsampath/ansible-role-minikube,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Makefile
ihcsim/go-ini,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,Go
